"Code","Heading","V2.1"
"RBP","Meteorology & climatology",
"RBX","Palaeontology",
"RG","Geography",
"RGB","Physical geography & topography",
"RGBA","Arid zones, deserts",
"RGBC","Grasslands, heaths, prairies, tundra",
"RGBF","Wetlands, swamps, fens",
"RGBL","Forests, rainforests",
"RGBP","Deltas, estuaries, coastal regions",
"RGBR","Coral reefs",
"RGBS","Mountains",
"RGC","Human geography",
"RGCM","Economic geography",
"RGCP","Political geography",
"RGL","Regional geography",
"RGM","Biogeography",
"RGR","Geographical discovery & exploration",
"RGS","Geographical maps (specialist)",
"RGV","Cartography, map-making & projections",
"RGW","Geographical information systems (GIS) & remote sensing",
"RGY","Geodesy & surveying for maps & charts",
"RN","The environment",
"RNA","Environmentalist thought & ideology",
"RNB","Environmentalist, conservationist & Green organizations",
"RNC","Applied ecology",
"RNCB","Biodiversity",
"RND","Environmental policy & protocols","New"
"RNF","Environmental management","Mod"
"RNFD","Drought & water supply",
"RNFF","Food security & supply","New"
"RNFY","Energy resources","New"
"RNH","Waste management",
"RNK","Conservation of the environment",
"RNKH","Conservation of wildlife & habitats",
"RNKH1","Endangered species & extinction of species",
"RNP","Pollution & threats to the environment",
"RNPD","Deforestation",
"RNPG","Climate change","Mod"
"RNQ","Nuclear issues",
"RNR","Natural disasters",
"RNT","Social impact of environmental issues",
"RNU","Sustainability",
"RP","Regional & area planning",
"RPC","Urban & municipal planning",
"RPG","Rural planning",
"RPT","Transport planning & policy",
"T","Technology, engineering, agriculture",
"TB","Technology: general issues",
"TBC","Engineering: general",
"TBD","Technical design",
"TBDG","Ergonomics",
"TBG","Engineering graphics & technical drawing",
"TBJ","Maths for engineers",
"TBM","Instruments & instrumentation engineering",
"TBMM","Engineering measurement & calibration",
"TBN","Nanotechnology",
"TBR","Intermediate technology",
"TBX","History of engineering & technology",
"TBY","Inventions & inventors",
"TC","Biochemical engineering",
"TCB","Biotechnology",
"TCBG","Genetic engineering",
"TCBS","Biosensors",
"TD","Industrial chemistry & manufacturing technologies",
"TDC","Industrial chemistry",
"TDCB","Chemical engineering",
"TDCC","Heavy chemicals",
"TDCD","Detergents technology",
"TDCG","Powder technology",
"TDCH","Insecticide & herbicide technology",
"TDCJ","Pigments, dyestuffs & paint technology",
"TDCJ1","Cosmetics technology",
"TDCK","Surface-coating technology",
"TDCP","Plastics & polymers technology",
"TDCQ","Ceramics & glass technology",
"TDCR","Rubber technology",
"TDCT","Food & beverage technology",
"TDCT1","Brewing technology",
"TDCT2","Winemaking technology",
"TDCW","Pharmaceutical technology",
"TDG","Leather & fur technology",
"TDH","Textile & fibre technology",
"TDJ","Timber & wood processing",
"TDJP","Pulp & paper technology",
"TDM","Metals technology / metallurgy",
"TDP","Other manufacturing technologies",
"TDPB","Precision instruments manufacture",
"TDPB1","Clocks, chronometers & watches (horology)",
"TDPD","Household appliances manufacture",
"TDPF","Furniture & furnishings manufacture",
"TDPH","Clothing & footware manufacture",
"TDPP","Printing & reprographic technology",
"TG","Mechanical engineering & materials",
"TGB","Mechanical engineering",
"TGBF","Tribology (friction & lubrication)",
"TGBN","Engines & power transmission",
"TGBN1","Steam engines",
"TGM","Materials science",
"TGMB","Engineering thermodynamics",
"TGMD","Mechanics of solids",
"TGMD4","Dynamics & vibration",
"TGMD5","Stress & fracture",
"TGMF","Mechanics of fluids",
"TGMF1","Aerodynamics",
"TGMF2","Hydraulics & pneumatics",
"TGMF3","Flow, turbulence, rheology",
"TGMT","Testing of materials",
"TGMT1","Non-destructive testing",
"TGP","Production engineering",
"TGPC","Computer aided manufacture (CAM)",
"TGPQ","Industrial quality control",
"TGPR","Reliability engineering",
"TGX","Engineering skills & trades",
"TGXT","Tool making",
"TGXW","Welding",
"TH","Energy technology & engineering",
"THF","Fossil fuel technologies",
"THFG","Gas technology",
"THFP","Petroleum technology",
"THFS","Solid fuel technology",
"THK","Nuclear power & engineering",
"THN","Heat transfer processes",
"THR","Electrical engineering",
"THRB","Power generation & distribution",
"THRD","Power networks, systems, stations & plants",
"THRF","Power utilization & applications",
"THRH","Energy conversion & storage",
"THRM","Electric motors",
"THRS","Electrician skills",
"THT","Energy efficiency","New"
"THX","Alternative & renewable energy sources & technology",
"TJ","Electronics & communications engineering",
"TJF","Electronics engineering",
"TJFC","Circuits & components",
"TJFD","Electronic devices & materials",
"TJFD1","Microprocessors",
"TJFD3","Transistors",
"TJFD5","Semi-conductors & super-conductors",
"TJFM","Automatic control engineering",
"TJFM1","Robotics",
"TJFN","Microwave technology",
"TJK","Communications engineering / telecommunications",
"TJKD","Radar",
"TJKR","Radio technology",
"TJKS","Satellite communication",
"TJKT","Telephone technology",
"TJKT1","Mobile phone technology",
"TJKV","Television technology",
"TJKW","WAP (wireless) technology",
"TN","Civil engineering, surveying & building",
"TNC","Structural engineering",
"TNCB","Surveying",
"TNCB1","Quantity surveying",
"TNCC","Soil & rock mechanics",
"TNCE","Earthquake engineering",
"TNCJ","Bridges",
"TNF","Hydraulic engineering",
"TNFD","Dams & reservoirs",
"TNFH","Harbours & ports",
"TNFL","Flood control",
"TNFR","Land reclamation & drainage",
"TNH","Highway & traffic engineering",
"TNK","Building construction & materials",
"TNKF","Fire protection & safety",
"TNKH","Heating, lighting, ventilation",
"TNKS","Security & fire alarm systems",
"TNKX","Conservation of buildings & building materials",
"TNT","Building skills & trades",
"TNTB","Bricklaying & plastering",
"TNTC","Carpentry",
"TNTP","Plumbing",
"TNTR","Roofing",
"TQ","Environmental science, engineering & technology",
"TQD","Environmental monitoring",
"TQK","Pollution control",
"TQS","Sanitary & municipal engineering",
"TQSR","Waste treatment & disposal",
"TQSR1","Sewage treatment & disposal",
"TQSR3","Hazardous waste treatment & disposal",
"TQSW","Water supply & treatment",
"TQSW1","Water purification & desalinization",
"TR","Transport technology & trades",
"TRC","Automotive technology & trades",
"TRCS","Automotive (motor mechanic) skills",
"TRCT","Road transport & haulage trades",
"TRF","Railway technology, engineering & trades",
"TRFT","Railway trades",
"TRL","Shipbuilding technology, engineering & trades",
"TRLD","Ship design & naval architecture",
"TRLN","Navigation & seamanship",
"TRLT","Maritime / nautical trades",
"TRP","Aerospace & aviation technology",
"TRPS","Aviation skills / piloting",
"TRT","Intelligent & automated transport system technology",
"TT","Other technologies & applied sciences",
"TTA","Acoustic & sound engineering",
"TTB","Applied optics",
"TTBF","Fibre optics",
"TTBL","Laser technology & holography",
"TTBM","Imaging systems & technology",
"TTBS","Scanning systems & technology",
"TTD","Space science",
"TTDS","Astronautics",
"TTM","Military engineering",
"TTMW","Ordnance, weapons technology",
"TTP","Explosives technology & pyrotechnics",
"TTS","Marine engineering",
"TTSH","Offshore engineering",
"TTSX","Sonar",
"TTU","Mining technology & engineering",
"TTV","Other vocational technologies & trades",
"TTVC","Hotel & catering trades",
"TTVH","Hairdressing & salon skills",
"TTVR","Traditional trades & skills","Mod"
"TTX","Taxidermy",
"TV","Agriculture & farming",
"TVB","Agricultural science",
"TVD","Agricultural engineering & machinery",
"TVDR","Irrigation",
"TVF","Sustainable agriculture",
"TVG","Organic farming",
"TVH","Animal husbandry",
"TVHB","Animal breeding",
"TVHF","Dairy farming",
"TVHH","Apiculture (beekeeping)",
"TVHP","Poultry farming",
"TVK","Agronomy & crop production",
"TVKC","Cereal crops",
"TVKF","Fertilizers & manures",
"TVM","Smallholdings",
"TVP","Pest control",
"TVQ","Tropical agriculture: practice & techniques",
"TVR","Forestry & silviculture: practice & techniques",
"TVS","Horticulture",
"TVSW","Viticulture",
"TVT","Aquaculture & fish-farming: practice & techniques",
"U","Computing & information technology",
"UB","Information technology: general issues","Mod"
"UBH","Health & safety aspects of IT","Mod"
"UBJ","Ethical & social aspects of IT","Mod"
"UBL","Legal aspects of IT","Mod"
"UBW","Internet: general works ","New"
"UD","Digital lifestyle",
"UDA","Personal organisation software & apps","New"
"UDB","Internet guides & online services",
"UDBA","Online shopping & auctions",
"UDBD","Internet searching",
"UDBG","Internet gambling",
"UDBM","Online finance & investing",
"UDBR","Internet browsers",
"UDBS","Social networking","New"
"UDBV","Virtual worlds ","New"
"UDF","Email: consumer/user guides",
"UDH","Portable & handheld devices: consumer/user guides","Mod"
"UDM","Digital music: consumer/user guides",
"UDP","Digital photography: consumer/user guides",
"UDQ","Digital video: consumer/user guides",
"UDT","Mobile phones: consumer/user guides",
"UDV","Digital TV & media centres: consumer/user guides",
"UDX","Computer games / online games: strategy guides","Mod"
"UF","Business applications",
"UFB","Integrated software packages",
"UFBC","Microsoft Office",
"UFBF","Microsoft Works",
"UFBL","Lotus Smartsuite",
"UFBP","OpenOffice",
"UFBS","StarOffice",
"UFBW","iWork",
"UFC","Spreadsheet software",
"UFCE","Excel",
"UFCL","Lotus 1-2-3",
"UFD","Word processing software",
"UFDM","Microsoft Word",
"UFG","Presentation graphics software",
"UFGP","PowerPoint",
"UFK","Accounting software",
"UFL","Enterprise software",
"UFLS","SAP (Systems, applications & products in databases)",
"UFM","Mathematical & statistical software",
"UFP","Project management software",
"UFS","Collaboration & group software",
"UG","Graphical & digital media applications",
"UGB","Web graphics & design",
"UGC","Computer-aided design (CAD)",
"UGD","Desktop publishing",
"UGG ","Computer games design",
"UGK","3D graphics & modelling",
"UGL","Illustration & drawing software",
"UGM","Digital music: professional",
"UGN","Digital animation",
"UGP","Photo & image editing",
"UGV","Digital video: professional",
"UK","Computer hardware",
"UKC","Supercomputers",
"UKD","Mainframes & minicomputers",
"UKF","Servers",
"UKG","Grid & parallel computing",
"UKM","Embedded systems",
"UKN","Network hardware",
"UKP","Personal computers",
"UKPC","PCs (IBM-compatible personal computers)",
"UKPM","Macintosh",
"UKR","Maintenance & repairs",
"UKS","Storage media & peripherals",
"UKX","Utilities & tools",
"UL","Operating systems",
"ULD","Windows & variants","Mod"
"ULDF","Windows 7","New"
"ULDG","Windows Vista",
"ULDL","Windows 2003",
"ULDP","Windows XP",
"ULDT","Windows 2000",
"ULDX","Windows NT",
"ULH","Macintosh OS",
"ULL","Linux",
"ULLD","Debian",
"ULLR","Red Hat",
"ULLS","SUSE",
"ULLU","UBUNTU",
"ULN","UNIX",
"ULNB","BSD / FreeBSD",
"ULNH","HP-UX",
"ULNM","IBM AIX",
"ULNS","Sun Solaris",
"ULP","Handheld operating systems",
"ULQ","IBM mainframe operating systems",
"ULR","Real time operating systems",
"UM","Computer programming / software development",
"UMA","Program concepts / learning to program",
"UMB","Algorithms & data structures",
"UMC","Compilers",
"UMF","Agile programming",
"UMG","Aspect programming / AOP",
"UMH","Extreme programming",
"UMJ","Functional programming",
"UMK","Games development & programming",
"UMKB","2D graphics: games programming",
"UMKC","3D graphics: games programming",
"UMKL","Level design: games programming",
"UML","Graphics programming",
"UMN","Object-oriented programming (OOP)",
"UMP","Microsoft programming",
"UMPN",".Net programming",
"UMPW","Windows programming",
"UMQ","Macintosh programming",
"UMR","Network programming",
"UMS","Mobile & handheld device programming / Apps programming","Mod"
"UMT","Database programming",
"UMW","Web programming",
"UMWS","Web services",
"UMX","Programming & scripting languages: general",
"UMZ","Software Engineering",
"UMZL","Unified Modeling Language (UML)",
"UMZT","Software testing & verification",
"UMZW","Object oriented software engineering",
"UN","Databases",
"UNA","Database design & theory",
"UNAR","Relational databases",
"UNC","Data capture & analysis",
"UND","Data warehousing",
"UNF","Data mining",
"UNH","Information retrieval",
"UNJ","Object-oriented databases",
"UNK","Distributed databases",
"UNN","Databases & the Web",
"UNS","Database software",
"UNSB","Oracle",
"UNSC","Access",
"UNSF","FileMaker",
"UNSJ","SQL Server / MS SQL",
"UNSK","SQLite",
"UNSM","MySQL",
"UNSP","PostgreSQL",
"UNSX","IBM DB2",
"UNSY","Sybase",
"UQ","Computer certification",
"UQF","Computer certification: Microsoft","Mod"
"UQJ","Computer certification: Cisco",
"UQL","Computer certification: ECDL",
"UQR","Computer certification: CompTia",
"UQT","Computer certification: CLAiT",
"UR","Computer security",
"URD","Privacy & data protection",
"URH","Computer fraud & hacking",
"URJ","Computer viruses, Trojans & worms",
"URQ","Firewalls",
"URS","Spam",
"URW","Spyware",
"URY","Data encryption",
"UT","Computer networking & communications",
"UTC","Cloud computing","New"
"UTD","Client-Server networking",
"UTF","Network management",
"UTFB","Computer systems back-up & data recovery","New"
"UTG","Grid computing",
"UTM","Electronic mail (email): professional",
"UTN","Network security",
"UTP","Networking standards & protocols",
"UTR","Distributed systems",
"UTS","Networking packages",
"UTV","Virtualisation","New"
"UTW","WAP networking & applications",
"UTX","EDI (electronic data interchange)",
"UY","Computer science",
"UYA","Mathematical theory of computation",
"UYAM","Maths for computer scientists",
"UYD","Systems analysis & design",
"UYF","Computer architecture & logic design",
"UYFL","Assembly languages",
"UYFP","Parallel processing",
"UYM","Computer modelling & simulation","New"
"UYQ","Artificial intelligence",
"UYQE","Expert systems / knowledge-based systems",
"UYQL","Natural language & machine translation",
"UYQM","Machine learning",
"UYQN","Neural networks & fuzzy systems",
"UYQP","Pattern recognition",
"UYQS","Speech recognition",
"UYQV","Computer vision",
"UYS","Signal processing",
"UYT","Image processing",
"UYU","Audio processing",
"UYV","Virtual reality",
"UYZ","Human-computer interaction",
"UYZF","Information visualization",
"UYZG","User interface design & usability",
"UYZM","Information architecture",
"V","Health & personal development",
"VF","Family & health",
"VFB","Personal safety","Mod"
"VFD","Popular medicine & health",
"VFDF","First aid for the home",
"VFDM","Men's health",
"VFDW","Women's health",
"VFG","Home nursing & caring",
"VFJ","Coping with personal problems",
"VFJB","Coping with illness & specific conditions","Mod"
"VFJD","Coping with disability",
"VFJG","Coping with old age",
"VFJJ","Coping with eating disorders",
"VFJK","Coping with drug & alcohol abuse",
"VFJP","Coping with anxiety & phobias",
"VFJS","Coping with stress",
"VFJX","Coping with death & bereavement",
"VFL","Giving up smoking",
"VFM","Fitness & diet",
"VFMD","Diets & dieting",
"VFMG","Exercise & workout books",
"VFMS","Massage",
"VFV","Family & relationships",
"VFVC","Sex & sexuality, sex manuals",
"VFVG","Dating, relationships, living together & marriage",
"VFVK","Adoption",
"VFVS","Separation & divorce",
"VFVX","Intergenerational relationships",
"VFX","Advice on parenting",
"VFXB","Pregnancy, birth & baby care",
"VFXB1","Baby names",
"VFXC","Child care & upbringing",
"VFXC1","Teenagers: advice for parents",
"VS","Self-help & personal development",
"VSB","Personal finance",
"VSC","Advice on careers & achieving success",
"VSD","Law, citizenship & rights for the lay person","Mod"
"VSF","Roadcraft, driving & the Highway Code",
"VSG","Consumer advice",
"VSH","Housing & property for the individual - buying/selling & legal aspects",
"VSK","Advice on education",
"VSL","Adult literacy guides & handbooks",
"VSN","Adult numeracy guides & handbooks",
"VSP","Popular psychology",
"VSPM","Assertiveness, motivation & self-esteem",
"VSPT","Memory improvement & thinking techniques",
"VSPX","Neuro Linguistic Programming (NLP)",
"VSR","Retirement",
"VSW","Living & working abroad",
"VSZ","Green lifestyle & self-sufficiency","Mod"
"VX","Mind, Body, Spirit",
"VXA","Mind, Body, Spirit: thought & practice",
"VXF","Fortune-telling & divination",
"VXFA","Astrology",
"VXFA1","Star signs & horoscopes",
"VXFC","Fortune-telling by cards (cartomancy)",
"VXFC1","Tarot",
"VXFD","The I Ching",
"VXFG","Graphology",
"VXFJ","Palmistry, phrenology & physiognomy",
"VXFN","Numerology",
"VXFT","Clairvoyance & precognition",
"VXH","Complementary therapies, healing & health",
"VXHA","Alexander technique",
"VXHC","Aromatherapy & essential oils",
"VXHH","Homoeopathy",
"VXHJ","Reflexology",
"VXHK","Reiki",
"VXHT","Traditional medicine & herbal remedies",
"VXHT1","Chinese medicine & acupuncture",
"VXHT2","Ayurvedic therapies",
"VXM","Mind, body, spirit: meditation & visualisation",
"VXN","Dreams & their interpretation",
"VXP","Psychic powers & psychic phenomena",
"VXPC","Crystals & colour-healing",
"VXPH","Chakras, auras & spiritual energy",
"VXPJ","Astral projection & out-of-body experiences",
"VXPR","The afterlife, reincarnation & past lives","Mod"
"VXPS","Spirit guides, angels & channelling",
"VXQ","Unexplained phenomena / the paranormal",
"VXQB","UFOs & extraterrestrial beings",
"VXQG","Ghosts & poltergeists",
"VXQM","Monsters & legendary beings",
"VXV","Feng Shui",
"VXW","Mysticism, magic & ritual",
"VXWK","Kabbalah: popular works",
"VXWM","Magic, spells & alchemy",
"VXWS","Shamanism, paganism & druidry",
"VXWT","Witchcraft & Wicca",
"W","Lifestyle, sport & leisure",
"WB","Cookery / food & drink etc",
"WBA","General cookery & recipes",
"WBB","TV / celebrity chef cookbooks",
"WBC","Cooking for one",
"WBD","Budget cookery","New"
"WBF","Quick & easy cooking",
"WBH","Health & wholefood cookery",
"WBHS","Cookery for specific diets & conditions",
"WBJ","Vegetarian cookery",
"WBN","National & regional cuisine",
"WBQ","Cooking for/with children",
"WBR","Cooking for parties",
"WBS","Cooking with specific gadgets",
"WBT","Cookery by ingredient",
"WBTB","Cooking with meat & game",
"WBTC","Cooking with chicken & other poultry",
"WBTF","Cooking with fish & seafood",
"WBTH","Cooking with herbs & spices",
"WBTP","Pasta dishes",
"WBTR","Cooking with dairy products",
"WBTX","Cooking with chocolate",
"WBV","Cookery dishes & courses",
"WBVD","Soups & starters",
"WBVG","Salads",
"WBVM","Main courses",
"WBVQ","Desserts",
"WBVS","Cakes, baking, icing & sugarcraft",
"WBW","Preserving & freezing",
"WBX","Beverages",
"WBXD","Alcoholic beverages",
"WBXD1","Wines",
"WBXD2","Beers",
"WBXD3","Spirits & cocktails",
"WBXN","Non-alcoholic beverages",
"WBZ","Cigars & smoking",
"WC","Antiques & collectables",
"WCB","Antiques & collectables: buyer's guides",
"WCC","Care & restoration of antiques",
"WCF","Coins, banknotes, medals, seals (numismatics)",
"WCG","Stamps, philately",
"WCJ","Antique clocks, watches, musical boxes & automata",
"WCK","Militaria, arms & armour",
"WCL","Antique furniture / furniture collecting",
"WCN","Antiques & collectables: ceramics & glass",
"WCP","Antiques & collectables: jewellery",
"WCR","Antiques & collectables: gold & silver (other than jewellery)",
"WCS","Antiques & collectables: books, manuscripts, ephemera & printed matter",
"WCU","Antiques & collectables: pictures, prints & maps",
"WCV","Antiques & collectables: carpets, rugs & textiles",
"WCW","Antiques & collectables: toys, games & models",
"WCX","Antiques & collectables: scientific & musical instruments",
"WD","Hobbies, quizzes & games",
"WDH","Hobbies",
"WDHM","Model railways",
"WDHR","Radio-controlled models",
"WDHW","Role-playing, war games & fantasy sports",
"WDJ","3-D images & optical illusions",
"WDK","Puzzles & quizzes",
"WDKC","Crosswords",
"WDKN","Sudoku & number puzzles",
"WDKX","Trivia & quiz question books",
"WDM","Indoor games",
"WDMC","Card games",
"WDMC1","Bridge",
"WDMC2","Poker",
"WDMG","Board games",
"WDMG1","Chess",
"WDP","Gambling: theories & methods",
"WF","Handicrafts, decorative arts & crafts",
"WFA","Painting & art manuals",
"WFB","Needlework & fabric crafts",
"WFBC","Embroidery crafts",
"WFBL","Lace & lacemaking",
"WFBQ","Quiltmaking, patchwork & applique",
"WFBS","Knitting & crochet",
"WFBV","Batik & tie-dye",
"WFC","Ropework, knots & macrame",
"WFF","Rug & carpetmaking",
"WFG","Spinning & weaving",
"WFH","Toys: making & decorating",
"WFJ","Jewellery & beadcraft",
"WFK","Decorative finishes & surfaces",
"WFL","Decorative wood & metalwork",
"WFLF","Picture framing",
"WFN","Pottery, ceramics & glass crafts",
"WFS","Carving & modelling, moulding & casting",
"WFT","Book & paper crafts",
"WFTG","Greeting cards",
"WFTM","Origami & paper engineering",
"WFTS","Scrapbook keeping",
"WFU","Lettering & calligraphy",
"WFV","Rural crafts",
"WFW","Flower arranging & floral crafts",
"WG","Transport: general interest",
"WGC","Road & motor vehicles: general interest",
"WGCB","Motor cars: general interest",
"WGCF","Buses, trams & commercial vehicles: general interest",
"WGCK","Motorcycles: general interest",
"WGCT","Tractors & farm vehicles: general interest",
"WGCV","Vehicle maintenance & manuals",
"WGF","Trains & railways: general interest",
"WGG","Ships & boats: general interest","Mod"
"WGGN","Narrowboats & canals",
"WGGV","Boatbuilding & maintenance","New"
"WGM","Aircraft: general interest",
"WH","Humour",
"WHC","Cartoons & comic strips",
"WHG","TV tie-in humour",
"WHJ","Jokes & riddles",
"WHL","Slang & dialect humour",
"WHP","Parodies & spoofs",
"WHX","Humour collections & anthologies",
"WJ","Lifestyle & personal style guides","Mod"
"WJF","Fashion & style guides",
"WJH","Cosmetics, hair & beauty",
"WJK","Interior design, decor & style guides",
"WJS","Shopping guides",
"WJW","Weddings, wedding planners",
"WJX","Parties, etiquette & entertaining",
"WK","Home & house maintenance",
"WKD","DIY: general",
"WKDM","DIY: house maintenance manuals",
"WKDW","DIY: carpentry & woodworking",
"WKH","Household hints",
"WKR","Home renovation & extension",
"WM","Gardening",
"WMB","Gardens (descriptions, history etc)",
"WMD","Garden design & planning",
"WMF","Greenhouses, conservatories, patios",
"WMP","Gardening: plants",
"WMPC","Gardening: flowers",
"WMPF","Gardening: growing fruit & vegetables",
"WMPH","Gardening: herbs",
"WMPM","Succulents & cacti",
"WMPS","Gardening: shrubs & trees",
"WMPX","House plants",
"WMQ","Specialized gardening methods",
"WMQB","Bonsai",
"WMQF","Organic gardening",
"WMQL","Landscape gardening",
"WMQN","Natural & wild gardening",
"WMQP","Gardening with native plants",
"WMQR","Container gardening",
"WMQW","Water gardens, pools",
"WMT","Allotments",
"WN","Natural history","Mod"
"WNA","Dinosaurs & the prehistoric world",
"WNC","Wildlife: general interest",
"WNCB","Wildlife: birds & birdwatching",
"WNCF","Wildlife: mammals",
"WNCK","Wildlife: reptiles & amphibians",
"WNCN","Wildlife: butterflies, other insects & spiders",
"WNCS","Wildlife: aquatic creatures",
"WNCS1","Sea life & the seashore",
"WNCS2","Freshwater life",
"WND","The countryside, country life",
"WNF","Farm & working animals",
"WNG","Domestic animals & pets",
"WNGC","Cats as pets",
"WNGD","Dogs as pets",
"WNGD1","Dog obedience & training",
"WNGF","Fishes & aquaria",
"WNGH","Horses & ponies",
"WNGK","Birds, including cage birds, as pets",
"WNGR","Rabbits & rodents as pets",
"WNGS","Reptiles & amphibians as pets",
"WNGX","Insects & spiders as pets",
"WNH","Zoos & wildlife parks",
"WNP","Trees, wildflowers & plants",
"WNR","Rocks, minerals & fossils",
"WNW","The Earth: natural history general",
"WNWM","Weather",
"WNX","Popular astronomy & space",
"WQ","Local interest, family history & nostalgia",
"WQH","Local history",
"WQN","Nostalgia: general",
"WQP","Places in old photographs",
"WQY","Family history, tracing ancestors",
"WS","Sports & outdoor recreation",
"WSB","Sporting events & management","Mod"
"WSBB","Olympic & Paralympic games","Mod"
"WSBG","Sports governing bodies",
"WSBM","Sports management & facilities","New"
"WSBT","Sports teams & clubs",
"WSBV","Sporting venues",
"WSBX","History of sport","New"
"WSC","Disability sports","New"
"WSD","Sports training & coaching",
"WSDF","Sport science, physical education","New"
"WSDP","Sports psychology",
"WSDX","Drug abuse in sport",
"WSE","Extreme sports",
"WSF","Air sports & recreations",
"WSJ","Ball games",
"WSJA","Football (Soccer, Association football)",
"WSJA1","World Cup",
"WSJC","Cricket",
"WSJF","Rugby football",
"WSJF1","Rugby Union",
"WSJF2","Rugby League",
"WSJG","Golf",
"WSJH","Hockey",
"WSJJ","Lacrosse",
"WSJK","Hurling",
"WSJL","Gaelic football",
"WSJM","Basketball",
"WSJN","Netball",
"WSJQ","Australian Rules football",
"WSJR","Racket games",
"WSJR2","Tennis",
"WSJR3","Badminton",
"WSJR4","Squash & rackets",
"WSJR5","Table tennis",
"WSJS","American football",
"WSJT","Baseball",
"WSJV","Volleyball",
"WSJY","Bowls, bowling, petanque",
"WSJZ","Snooker, billiards, pool",
"WSK","Track & field sports, athletics",
"WSKC","Marathon & cross-country running",
"WSKQ","Multidiscipline sports",
"WSL","Gymnastics",
"WSM","Weightlifting",
"WSN","Equestrian & animal sports",
"WSNB","Horse racing",
"WSNF","Riding, showjumping & horsemanship",
"WSNP","Greyhound racing",
"WSP","Motor sports",
"WSPC","Car racing",
"WSPC1","Formula 1 & Grand Prix",
"WSPG","Motor rallying / rally driving",
"WSPM","Motorcycle racing",
"WSQ","Cycling",
"WSR","Rollerblading, skateboarding, etc",
"WSS","Water sports & recreations",
"WSSC","Swimming & diving",
"WSSC1","Sub-aqua swimming",
"WSSG","Surfing, windsurfing, water skiing",
"WSSN","Boating",
"WSSN1","Motor / power boating & cruising",
"WSSN3","Sailing",
"WSSN5","Canoeing & kayaking",
"WSSN7","Rowing",
"WST","Combat sports & self-defence",
"WSTB","Boxing",
"WSTC","Wrestling",
"WSTF","Fencing",
"WSTM","Oriental martial arts",
"WSU","Bodybuilding",
"WSW","Winter sports",
"WSWK","Skiing",
"WSWM","Snowboarding",
"WSWS","Ice-skating",
"WSWY","Ice hockey",
"WSX","Field sports: fishing, hunting, shooting",
"WSXF","Fishing, angling",
"WSXH","Hunting or shooting animals & game",
"WSXR","Archery",
"WSXS","Small firearms, guns & other equipment",
"WSXT","Target shooting",
"WSZ","Active outdoor pursuits",
"WSZC","Walking, hiking, trekking",
"WSZG","Climbing & mountaineering",
"WSZK","Orienteering",
"WSZN","Caving & potholing",
"WSZR","Camping & woodcraft",
"WSZV","Outdoor survival skills",
"WT","Travel & holiday",
"WTD","Travel tips & advice: general",
"WTH","Travel & holiday guides",
"WTHA","Adventure holidays",
"WTHB","Business travel",
"WTHC","Eco-tourist guides",
"WTHF","Travel with children / family holidays",
"WTHH","Hotel & holiday accommodation guides",
"WTHH1","Caravan & camp-site guides",
"WTHM","Museum, historic sites, gallery & art guides",
"WTHR","Restaurant, cafe & pub guides",
"WTHT","Theme parks & funfairs",
"WTHX","Cruises",
"WTK","Language phrasebooks",
"WTL","Travel writing",
"WTLC","Classic travel writing",
"WTLP","Expeditions",
"WTM","Places & peoples: general & pictorial works","Mod"
"WTR","Travel maps & atlases",
"WTRD","Road atlases & maps","Mod"
"WTRM","Travel maps",
"WTRS","Street maps & city plans",
"WZ","Miscellaneous items",
"WZG","Gift books",
"WZS","Stationery items",
"Y","Children's, Teenage & educational","Mod"
"YB","Picture books, activity books & early learning material",
"YBC","Picture books",
"YBCB","Baby books",
"YBCH","Picture books: character books",
"YBCS","Picture storybooks",
"YBG","Interactive & activity books & packs",
"YBGC","Colouring & painting activity books",
"YBGK","Press out & kit books",
"YBGP","Pop-up & lift-the-flap books",
"YBGS","Sticker & stamp books",
"YBGT","Novelty, toy & die-cut books",
"YBGT1","Sound story, noisy books, musical books",
"YBGT3","Touch & feel books",
"YBGT5","Magnet books",
"YBGT7","Jigsaw books",
"YBL","Early learning / early learning concepts",
"YBLA","Early learning: ABC books / alphabet books",
"YBLA1","Early learning: first word books",
"YBLB","Early learning: rhyming & wordplay books",
"YBLB1","Early learning: verse & rhymes",
"YBLC","Early learning: numbers & counting",
"YBLD","Early learning: colours",
"YBLF","Early learning: opposites",
"YBLH","Early learning: size, shapes & patterns",
"YBLJ","Early learning: time & seasons",
"YBLJ1","Early learning: telling the time",
"YBLN","Early learning: first experiences",
"YBLN1","Early learning: the senses",
"YBLP","Early learning: people who help us","New"
"YBLT","Early learning: things that go","New"
"YD","Children's / Teenage poetry, anthologies, annuals","Mod"
"YDA","Annuals (Children's / Teenage)","Mod"
"YDC","Anthologies (Children's / Teenage)","Mod"
"YDP","Poetry (Children's / Teenage)","Mod"
"YF","Children's / Teenage fiction & true stories","Mod"
"YFA","Classic fiction (Children's / Teenage)","Mod"
"YFB","General fiction (Children's / Teenage)","Mod"
"YFC","Adventure stories (Children's / Teenage)","Mod"
"YFCB","Thrillers (Children's / Teenage)","Mod"
"YFCF","Crime & mystery fiction (Children's / Teenage)","Mod"
"YFD","Horror & ghost stories, chillers (Children's / Teenage)","Mod"
"YFG","Science fiction (Children's / Teenage)","Mod"
"YFH","Fantasy & magical realism (Children's / Teenage)","Mod"
